Name,Rating,Review,Comment
Flipkart Customer,5,Classy product,Nice buds
Flipkart Customer,5,Best in the market!,Super sound quality
ÑÎKHÏL Kûmär,5,Mind-blowing purchase,Nyc sound
Himanku  Kalita,4,Pretty good,"Good for indor calls,and music.But in traffic not recommended for calls"
Dheeraj Sharma,5,Must buy!,NYC product
Flipkart Customer,5,Highly recommended,Good 👍
Shibu Singh,5,Must buy!,This ear buds are awesome
Flipkart Customer,3,Fair,Bad product
Srimanta Mandal,5,Simply awesome,Good
Ashok Nath,5,Brilliant,Very good sound quality👌
Flipkart Customer,5,Brilliant,Super
Flipkart Customer,5,Just wow!,Good one
Afrin  Fathima ,5,Excellent,Product is very good and nice one.
Abdul Zahur,3,Fair,Good product
Flipkart Customer,5,Must buy!,It is good
Pankaj Mandurkar,4,Worth the money,Good
Sadak Vali,5,Best in the market!,Nice product
Sampad Bal,4,Delightful,Awsm product love it
